name,careers_url,specialty
Petpooja,https://www.petpooja.com/careers,Restaurant POS SaaS
Clientjoy,https://www.clientjoy.io/careers,CRM SaaS
SocialPilot,https://www.socialpilot.co/careers,Social Media SaaS
CallHippo,https://callhippo.com/careers,Cloud Telephony
OneHash,https://www.onehash.ai/careers,FaaS CRM ERP
vasyERP,https://vasyerp.com/careers,ERP SaaS
Biziverse,https://www.biziverse.com/careers,ERP B2B SaaS
DevX,https://devx.work/careers,Coworking Accelerator
Parikshak.ai,https://parikshak.ai/careers,AI Recruitment
Dwij AI Labs,https://dwijailabs.com/careers,AI Engineering
Lendingkart,https://www.lendingkart.com/careers,Fintech
BluSmart Mobility,https://www.blusmart.in/careers,Electric Mobility
Matter,https://matter.in/careers,EV Sustainable Transport
Renee Cosmetics,https://www.reneecosmetics.in/careers,Beauty D2C
Vatsal Technosoft,https://www.vatsaltechnosoft.com/careers,Mobile Web Technologies
JSTECHNO SOLUTIONS,https://jstechno.in/careers,IT Solutions
Webential Technologies,https://webential.com/careers,IT Services
Suvit,https://suvit.io/careers,Accounting SaaS
Nexus Corporate Solution,https://nexuscorporate.com/careers,Corporate Solutions
Emgage,https://emgage.work/careers,HR Tech
INFOCUSP INNOVATIONS,https://infocusp.com/careers,AI ML
AMNEX INFOTECHNOLOGIES,https://amnex.com/careers,IT Services
SNDK Corp,https://sndkcorp.com/careers,Software Development
TRooTech Business Solutions,https://www.trootech.com/careers,Software Development
Solution Analysts,https://www.solutionanalysts.com/careers,Mobile App Development
AQe Digital,https://aqedigital.com/careers,Digital Solutions
Bytes Technolab,https://www.bytestechnolab.com/careers,Software Development
R3coder,https://r3coder.com/careers,Software Development
Technource,https://www.technource.com/careers,Software Development
Webs Optimization,https://websoptimization.com/careers,Web Development
Vinayak Infosoft,https://vinayakinfosoft.com/careers,Web Development
Raging Developers,https://ragingdevelopers.com/careers,Digital Marketing Apps
Rushkar Information Technology,https://rushkar.com/careers,Microsoft Python Java
SimplSo,https://simplso.com/careers,IT Solutions
SoluteLabs,https://www.solutelabs.com/careers,AI ML Product Engineering
MindInventory,https://www.mindinventory.com/careers/,Digital Transformation AI
Yudiz Solutions,https://www.yudiz.com/careers,Blockchain Gaming AR VR
Aalpha Information Systems,https://www.aalpha.net/careers,Custom Software
Sufalam Technologies,https://sufalamtech.com/careers,Digital Transformation
AddWeb Solution,https://www.addwebsolution.com/careers,WordPress Development
NCrypted Technologies,https://www.ncrypted.com/careers,Clone Scripts Web Apps
Cygnet Infotech,https://www.cygnetinfotech.com/careers,Enterprise Software
Agile Infoways,https://www.agileinfoways.com/careers,Software Development
Brainvire Infotech,https://www.brainvire.com/career,Digital Transformation
Capermint Technologies,https://www.capermint.com/career,Game AR VR AI
SetuBridge Technolabs,https://www.setubridge.com/careers,Magento E-commerce
Elsner Technologies,https://www.elsner.com/career,E-commerce Magento
Codal,https://www.codal.com/careers,Software Development
instinctools,https://instinctools.com/careers,Software Development
Sophos India,https://www.sophos.com/en-us/company/careers,Cybersecurity
Microsoft GIFT City,https://careers.microsoft.com,Cloud Software
JP Morgan GIFT City,https://careers.jpmorgan.com,Banking Finance
Standard Chartered GIFT City,https://www.sc.com/en/careers,Banking Finance
Deutsche Bank GIFT City,https://careers.db.com,Banking Finance
Citibank GIFT City,https://jobs.citi.com,Banking Finance
HSBC GIFT City,https://www.hsbc.com/careers,Banking Finance
Barclays Bank GIFT City,https://home.barclays/careers,Banking Finance
Bank of America GIFT City,https://careers.bankofamerica.com,Banking Finance
Technip Energies,https://www.technipenergies.com/careers,Energy Tech
